0.000	0.400	1.200	0.800	28.800	-1.000	-1.000	-1.000	12.400	20.800
0.400	0.000	10.400	17.200	7.600	-1.000	16.400	-1.000	16.400	18.400
1.200	10.400	0.000	23.600	16.800	-1.000	15.600	-1.000	16.400	0.400
0.800	17.200	23.600	0.000	6.400	21.600	17.200	18.800	27.200	25.600
28.800	7.600	16.800	6.400	0.000	14.400	22.000	16.000	7.200	16.000
-1.000	-1.000	-1.000	21.600	14.400	0.000	16.000	24.400	18.800	26.000
-1.000	16.400	15.600	17.200	22.000	16.000	0.000	15.600	16.000	7.600
-1.000	-1.000	-1.000	18.800	16.000	24.400	15.600	0.000	13.200	26.000
12.400	16.400	16.400	27.200	7.200	18.800	16.000	13.200	0.000	17.600
20.800	18.400	0.400	25.600	16.000	26.000	7.600	26.000	17.600	0.000
