0.000	0.400	1.200	0.800	-1.000	-1.000	-1.000	-1.000	15.600	40.000
0.400	0.000	10.400	17.200	36.000	-1.000	16.400	-1.000	-1.000	19.200
1.200	10.400	0.000	23.600	35.600	-1.000	15.600	-1.000	-1.000	0.400
0.800	17.200	23.600	0.000	1.600	-1.000	-1.000	-1.000	-1.000	22.800
-1.000	36.000	35.600	1.600	0.000	34.000	-1.000	20.400	5.600	-1.000
-1.000	-1.000	-1.000	-1.000	34.000	0.000	19.200	17.600	-1.000	25.200
-1.000	16.400	15.600	-1.000	-1.000	19.200	0.000	19.600	-1.000	2.800
-1.000	-1.000	-1.000	-1.000	20.400	17.600	19.600	0.000	30.000	36.800
15.600	-1.000	-1.000	-1.000	5.600	-1.000	-1.000	30.000	0.000	21.200
40.000	19.200	0.400	22.800	-1.000	25.200	2.800	36.800	21.200	0.000
