#WindowWidth (s)	Efficiency
0.4	0.0661765
0.8	0.05
1.2	0.0544118
1.6	0.0426471
2	0.0441176
2.4	0.0441176
2.8	0.0455882
3.2	0.0397059
3.6	0.0352941
4	0.0279412
4.4	0.0235294
4.8	0.0220588
5.2	0.0220588
5.6	0.0220588
6	0.0205882
6.4	0.025
6.8	0.0279412
7.2	0.0294118
7.6	0.0308824
8	0.0294118
8.4	0.0308824
8.8	0.0323529
9.2	0.0352941
9.6	0.0367647
10	0.0367647
10.4	0.0397059
10.8	0.0397059
11.2	0.0397059
11.6	0.0411765
12	0.0411765
12.4	0.0411765
12.8	0.0411765
13.2	0.0455882
13.6	0.0426471
14	0.0455882
14.4	0.0426471
14.8	0.0397059
15.2	0.0352941
15.6	0.0367647
16	0.0323529
16.4	0.0308824
16.8	0.0294118
17.2	0.0264706
17.6	0.0235294
18	0.0220588
18.4	0.0220588
18.8	0.025
19.2	0.025
19.6	0.0235294
20	0.0308824
20.4	0.0294118
20.8	0.0308824
21.2	0.0323529
21.6	0.0323529
22	0.0367647
22.4	0.0411765
22.8	0.0397059
23.2	0.0426471
23.6	0.0441176
24	0.0455882
24.4	0.0470588
24.8	0.0441176
25.2	0.0455882
25.6	0.0455882
26	0.0426471
26.4	0.0382353
26.8	0.0382353
27.2	0.0411765
27.6	0.0397059
28	0.0397059
28.4	0.05
28.8	0.0514706
29.2	0.0529412
29.6	0.0558824
30	0.0588235
30.4	0.0602941
30.8	0.0632353
31.2	0.0720588
31.6	0.0735294
32	0.0735294
32.4	0.0735294
32.8	0.0764706
33.2	0.0808824
33.6	0.0823529
34	0.0838235
34.4	0.0882353
34.8	0.0852941
35.2	0.0897059
35.6	0.0882353
36	0.0882353
36.4	0.0897059
36.8	0.0926471
37.2	0.0941176
37.6	0.0955882
38	0.0926471
38.4	0.0985294
38.8	0.101471
39.2	0.101471
39.6	0.1
40	0.104412
40.4	0.1
40.8	0.102941
41.2	0.0985294
41.6	0.0970588
42	0.0941176
42.4	0.0941176
42.8	0.0941176
43.2	0.0941176
43.6	0.0955882
44	0.0941176
44.4	0.0955882
44.8	0.0941176
45.2	0.0941176
45.6	0.0955882
46	0.0955882
46.4	0.0970588
46.8	0.0941176
47.2	0.0926471
47.6	0.0926471
48	0.0955882
