0	0.4	1.2	0.4	-1.0	-1.0	-1.0	-1.0	15.6	40	12	-1.0	36	-1.0	16.4	-1.0	-1.0	19.2	12	35.6	-1.0	15.6	-1.0	-1.0
0.4	0	0.4	1.6	-1.0	-1.0	-1.0	-1.0	22.8	34	-1.0	20.4	5.6	-1.0	19.2	17.6	-1.0	25.2	19.6	-1.0	2.8	30	36.8	21.2
1.2	0.4	0	2.4	-1.0	-1.0	-1.0	-1.0	22.4	-1.0	33.2	47.2	14	44.8	17.2	16	38	-1.0	17.6	-1.0	34	8.4	41.2	9.6
0.4	1.6	2.4	0	11.2	15.6	13.6	38	17.2	14	17.6	10.8	41.6	17.6	38.4	10.4	26	17.2	23.2	17.6	-1.0	23.2	36	16.8
-1.0	-1.0	-1.0	11.2	0	16	0.4	30	20	38.8	-1.0	36.4	-1.0	38.4	-1.0	31.2	25.2	-1.0	17.2	26	-1.0	12.4	-1.0	31.2
-1.0	-1.0	-1.0	15.6	16	0	2.4	40.8	-1.0	-1.0	-1.0	-1.0	34.4	28	-1.0	19.6	-1.0	-1.0	-1.0	31.2	-1.0	-1.0	-1.0	-1.0
-1.0	-1.0	-1.0	13.6	0.4	2.4	0	42.8	18.4	37.2	33.6	32.4	42	31.2	-1.0	31.2	23.2	46.4	17.6	37.2	-1.0	20.8	-1.0	47.2
-1.0	-1.0	-1.0	38	30	40.8	42.8	0	-1.0	-1.0	-1.0	44.8	-1.0	-1.0	46	41.6	-1.0	-1.0	34.4	37.2	-1.0	-1.0	-1.0	19.6
15.6	22.8	22.4	17.2	20	-1.0	18.4	-1.0	0	30	10	16.8	24	-1.0	15.6	-1.0	36	12	23.2	21.6	-1.0	19.2	-1.0	17.2
40	34	-1.0	14	38.8	-1.0	37.2	-1.0	30	0	30.8	0.4	-1.0	34.8	-1.0	-1.0	4.8	-1.0	-1.0	-1.0	-1.0	-1.0	4	39.2
12	-1.0	33.2	17.6	-1.0	-1.0	33.6	-1.0	10	30.8	0	30.4	21.2	27.6	36	-1.0	-1.0	32	23.2	28	-1.0	12.8	-1.0	-1.0
-1.0	20.4	47.2	10.8	36.4	-1.0	32.4	44.8	16.8	0.4	30.4	0	34.4	31.2	-1.0	-1.0	5.6	39.2	-1.0	-1.0	-1.0	34.4	4.4	24.8
36	5.6	14	41.6	-1.0	34.4	42	-1.0	24	-1.0	21.2	34.4	0	37.2	24.8	17.2	47.2	28.4	-1.0	-1.0	21.2	44.8	-1.0	15.2
-1.0	-1.0	44.8	17.6	38.4	28	31.2	-1.0	-1.0	34.8	27.6	31.2	37.2	0	-1.0	8	38.4	43.2	-1.0	-1.0	-1.0	28.4	29.6	29.2
16.4	19.2	17.2	38.4	-1.0	-1.0	-1.0	46	15.6	-1.0	36	-1.0	24.8	-1.0	0	-1.0	33.6	44	-1.0	-1.0	-1.0	-1.0	-1.0	45.6
-1.0	17.6	16	10.4	31.2	19.6	31.2	41.6	-1.0	-1.0	-1.0	-1.0	17.2	8	-1.0	0	23.6	40.8	-1.0	-1.0	-1.0	46.8	16.8	13.2
-1.0	-1.0	38	26	25.2	-1.0	23.2	-1.0	36	4.8	-1.0	5.6	47.2	38.4	33.6	23.6	0	-1.0	-1.0	-1.0	24.8	21.6	-1.0	34.4
19.2	25.2	-1.0	17.2	-1.0	-1.0	46.4	-1.0	12	-1.0	32	39.2	28.4	43.2	44	40.8	-1.0	0	2.8	30	-1.0	1.2	-1.0	19.2
12	19.6	17.6	23.2	17.2	-1.0	17.6	34.4	23.2	-1.0	23.2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.8	0	-1.0	-1.0	0.8	33.2	11.6
35.6	-1.0	-1.0	17.6	26	31.2	37.2	37.2	21.6	-1.0	28	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	30	-1.0	0	-1.0	-1.0	-1.0	37.6
-1.0	2.8	34	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	21.2	-1.0	-1.0	-1.0	24.8	-1.0	-1.0	-1.0	0	-1.0	-1.0	-1.0
15.6	30	8.4	23.2	12.4	-1.0	20.8	-1.0	19.2	-1.0	12.8	34.4	44.8	28.4	-1.0	46.8	21.6	1.2	0.8	-1.0	-1.0	0	-1.0	2
-1.0	36.8	41.2	36	-1.0	-1.0	-1.0	-1.0	-1.0	4	-1.0	4.4	-1.0	29.6	-1.0	16.8	-1.0	-1.0	33.2	-1.0	-1.0	-1.0	0	9.6
-1.0	21.2	9.6	16.8	31.2	-1.0	47.2	19.6	17.2	39.2	-1.0	24.8	15.2	29.2	45.6	13.2	34.4	19.2	11.6	37.6	-1.0	2	9.6	0
