0	0.8	5.2	0.4	21.2	-1.0	21.6	17.6	15.6	-1.0	16	-1.0	20	-1.0	45.6	27.6	17.6	45.2	-1.0	16.8	44.8	38.8	10.4	34.8
0.8	0	0.8	2	24.8	-1.0	19.6	15.6	16	-1.0	16.8	43.6	15.6	46.4	44.4	44.8	22.4	44.4	43.2	21.6	27.6	40.8	9.2	-1.0
5.2	0.8	0	8.4	-1.0	24	-1.0	14.8	15.6	-1.0	16.4	43.6	15.2	48	46.4	30.8	28.8	44.4	42.8	17.6	44	36.8	17.2	40.4
0.4	2	8.4	0	24.8	31.2	23.6	16	14.4	42.4	17.2	-1.0	22	47.6	-1.0	12	28.4	44.4	-1.0	20.8	45.2	27.2	14.4	34.8
21.2	24.8	-1.0	24.8	0	6.4	0.4	-1.0	-1.0	22.4	-1.0	-1.0	-1.0	10	-1.0	-1.0	-1.0	-1.0	4	37.6	-1.0	5.2	36	-1.0
-1.0	-1.0	24	31.2	6.4	0	2.8	10.4	46.8	38.8	-1.0	-1.0	-1.0	17.6	-1.0	-1.0	-1.0	-1.0	-1.0	13.6	-1.0	-1.0	-1.0	20
21.6	19.6	-1.0	23.6	0.4	2.8	0	-1.0	-1.0	35.6	-1.0	-1.0	-1.0	4	-1.0	46.4	-1.0	-1.0	5.6	-1.0	-1.0	4.8	35.6	-1.0
17.6	15.6	14.8	16	-1.0	10.4	-1.0	0	20	32	19.6	44.4	44	-1.0	-1.0	-1.0	-1.0	23.6	43.2	3.6	-1.0	31.6	28	-1.0
15.6	16	15.6	14.4	-1.0	46.8	-1.0	20	0	44	10	-1.0	31.2	-1.0	-1.0	23.6	18	43.6	-1.0	18	-1.0	40.8	17.2	-1.0
-1.0	-1.0	-1.0	42.4	22.4	38.8	35.6	32	44	0	-1.0	1.6	20.8	16.4	-1.0	-1.0	11.6	-1.0	-1.0	23.2	-1.0	-1.0	23.6	37.6
16	16.8	16.4	17.2	-1.0	-1.0	-1.0	19.6	10	-1.0	0	48	30	47.2	-1.0	-1.0	40.8	43.2	42.8	16.8	44	38	18.4	-1.0
-1.0	43.6	43.6	-1.0	-1.0	-1.0	-1.0	44.4	-1.0	1.6	48	0	16.8	-1.0	-1.0	-1.0	3.2	-1.0	-1.0	21.2	-1.0	43.6	7.2	-1.0
20	15.6	15.2	22	-1.0	-1.0	-1.0	44	31.2	20.8	30	16.8	0	-1.0	46.4	-1.0	19.6	44.8	-1.0	30.8	44	44	29.6	41.6
-1.0	46.4	48	47.6	10	17.6	4	-1.0	-1.0	16.4	47.2	-1.0	-1.0	0	-1.0	30.4	-1.0	-1.0	20.4	-1.0	-1.0	32.4	-1.0	-1.0
45.6	44.4	46.4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	46.4	-1.0	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	42	45.2	-1.0
27.6	44.8	30.8	12	-1.0	-1.0	46.4	-1.0	23.6	-1.0	-1.0	-1.0	-1.0	30.4	-1.0	0	-1.0	-1.0	15.2	-1.0	-1.0	8	-1.0	13.2
17.6	22.4	28.8	28.4	-1.0	-1.0	-1.0	-1.0	18	11.6	40.8	3.2	19.6	-1.0	-1.0	-1.0	0	-1.0	47.6	21.6	44.8	42.4	27.6	-1.0
45.2	44.4	44.4	44.4	-1.0	-1.0	-1.0	23.6	43.6	-1.0	43.2	-1.0	44.8	-1.0	-1.0	-1.0	-1.0	0	10	47.2	45.6	16	-1.0	-1.0
-1.0	43.2	42.8	-1.0	4	-1.0	5.6	43.2	-1.0	-1.0	42.8	-1.0	-1.0	20.4	-1.0	15.2	47.6	10	0	45.6	43.2	0.4	41.6	48
16.8	21.6	17.6	20.8	37.6	13.6	-1.0	3.6	18	23.2	16.8	21.2	30.8	-1.0	-1.0	-1.0	21.6	47.2	45.6	0	-1.0	41.2	-1.0	36.4
44.8	27.6	44	45.2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	44	-1.0	44	-1.0	-1.0	-1.0	44.8	45.6	43.2	-1.0	0	42.8	45.2	-1.0
38.8	40.8	36.8	27.2	5.2	-1.0	4.8	31.6	40.8	-1.0	38	43.6	44	32.4	42	8	42.4	16	0.4	41.2	42.8	0	40.8	6.4
10.4	9.2	17.2	14.4	36	-1.0	35.6	28	17.2	23.6	18.4	7.2	29.6	-1.0	45.2	-1.0	27.6	-1.0	41.6	-1.0	45.2	40.8	0	47.2
34.8	-1.0	40.4	34.8	-1.0	20	-1.0	-1.0	-1.0	37.6	-1.0	-1.0	41.6	-1.0	-1.0	13.2	-1.0	-1.0	48	36.4	-1.0	6.4	47.2	0
